pub_date,abstract,lead_para,headline,doc_type,section_name,type_of_material,rank,web_url
2022-04-02,The company’s crackdown on a worker protest in New York backfired and led to a historic labor victory.,"In the first dark days of the pandemic, as an Amazon worker named Christian Smalls planned a small, panicked walkout over safety conditions at the retailer’s only fulfillment center in New York City, the company quietly mobilized.",How Two Best Friends Beat Amazon,article,Business Day,News,1,https://www.nytimes.com/2022/04/02/business/amazon-union-christian-smalls.html
2022-04-07,The meetings are a common response by companies like Amazon and Starbucks to union drives among workers. The full labor board will make the decision.,"The general counsel of the National Labor Relations Board issued a memo on Thursday arguing that the widespread employer practice of requiring workers to attend anti-union meetings is illegal under federal law, even though labor board precedent has allowed it.",N.L.R.B. counsel calls for a ban on mandatory anti-union meetings.,article,Business Day,News,4,https://www.nytimes.com/2022/04/07/business/economy/nlrb-union-amazon-starbucks.html
2022-04-19,"As subscriber growth slows, Netflix and others show less resistance to introducing ads.","Later today, Netflix will report its latest quarterly earnings. Analysts do not have high expectations. The streaming service’s profits are expected to drop by more than 20 percent.",The Next Big Thing in Streaming,article,Business Day,News,6,https://www.nytimes.com/2022/04/19/business/dealbook/netflix-streaming-ads.html
2022-04-13,The new surcharge is in addition to fee increases for sellers in November that went into effect in January.,"Facing rising costs, Amazon said on Wednesday that it was adding its first “fuel and inflation surcharge” to the fees it charges sellers whose inventory it warehouses and delivers to customers, according to an announcement on its website.",Amazon adds a fuel and inflation surcharge to the fees it charges to sellers.,article,Technology,News,1,https://www.nytimes.com/2022/04/13/technology/amazon-fuel-surcharge.html
2022-04-08,The company listed a series of complaints against an upstart union’s organizing efforts. Both Amazon and another union noted objections to another vote in Alabama.,"Amazon objected on Friday to a landmark union election at its Staten Island fulfillment center, saying an upstart union’s unorthodox tactics there crossed legal lines, according to a copy of its filing to the National Labor Relations Board obtained by The New York Times.",Amazon says landmark Staten Island union vote should be thrown out.,article,Business Day,News,4,https://www.nytimes.com/2022/04/08/business/amazon-alabama-union-vote-objections.html
2022-04-25,The balloting will take place this week and could produce the second union at an Amazon facility in the United States.,"About 1,500 workers at an Amazon sorting center on Staten Island will be eligible to vote this week in an election that could produce the second union at the company in the United States.",Union Vote Begins at Another Amazon Facility on Staten Island,article,Business Day,News,6,https://www.nytimes.com/2022/04/25/business/amazon-union-staten-island.html
2022-04-04,Why a pro-union vote at Amazon may be a big deal.,"I grew up in a relatively equal society, at least as far as incomes were concerned. Obviously there were class differences in 1974, the year I graduated from college; some jobs paid much better than others, some people were rich while others were desperately poor. But for most Americans these differences were much narrower than they are today.",A Small Earthquake on Staten Island,article,Opinion,Op-Ed,4,https://www.nytimes.com/2022/04/04/opinion/amazon-union-staten-island.html
2022-04-19,"Executives at Netflix, Disney+ and other top streaming services, chasing ever bigger subscription numbers, are having a change of heart about commercials.","The two titans of the video streaming wars — Netflix and Disney+ — have long resisted commercials, showing a reluctance to have premium series like “Stranger Things” or “The Mandalorian” run alongside commercials hawking dish soap, soda and medications.","And Now, a Word From Your Streaming Sponsor …",article,Business Day,News,1,https://www.nytimes.com/2022/04/19/business/media/netflix-amazon-disney-ads.html
2022-04-28,"Amazon benefited from the coronavirus pandemic as people flocked to online shopping. Now, shoppers’ behavior has shifted.","In the face of a pandemic that appears to be receding and the highest levels of inflation in four decades, Amazon on Thursday posted its slowest quarterly growth in years and its first quarterly loss since 2015.",Amazon reports slowing sales growth and indicates slowdown may continue.,article,Technology,News,1,https://www.nytimes.com/2022/04/28/technology/amazon-earnings.html
2022-04-15,"The British actor plays an enigmatic interloper in this new science fiction Western on Amazon. “The trickery of it is what made it so fun,” she said.","When Imogen Poots arrives in the premiere of “Outer Range,” a trippy new science fiction Western series, the first impression is of an ingénue.",Imogen Poots Keeps Everyone Guessing in ‘Outer Range’,article,Arts,News,6,https://www.nytimes.com/2022/04/15/arts/television/outer-range-imogen-poots.html
