Price,Adj Close,Close,High,Low,Open,Volume
Ticker,^DJI,^DJI,^DJI,^DJI,^DJI,^DJI
Date,,,,,,
2017-11-10,23422.2109375,23422.2109375,23452.19921875,23392.9609375,23432.7109375,351280000
2017-11-13,23439.69921875,23439.69921875,23461.6796875,23343.33984375,23367.470703125,491260000
2017-11-14,23409.470703125,23409.470703125,23414.080078125,23271.5703125,23388.400390625,561330000
2017-11-15,23271.279296875,23271.279296875,23344.990234375,23242.75,23334.58984375,404300000
2017-11-16,23458.359375,23458.359375,23492.189453125,23365.33984375,23365.33984375,402020000
2017-11-17,23358.240234375,23358.240234375,23433.76953125,23356.009765625,23433.76953125,386000000
2017-11-20,23430.330078125,23430.330078125,23456.880859375,23360.580078125,23370.7109375,315330000
2017-11-21,23590.830078125,23590.830078125,23617.80078125,23500.150390625,23500.150390625,329650000
2017-11-22,23526.1796875,23526.1796875,23605.76953125,23507.609375,23597.240234375,268760000
2017-11-24,23557.990234375,23557.990234375,23599.1796875,23551.58984375,23552.75,118610000
2017-11-27,23580.779296875,23580.779296875,23638.919921875,23545.01953125,23552.859375,296320000
2017-11-28,23836.7109375,23836.7109375,23849.609375,23617.109375,23625.189453125,319240000
2017-11-29,23940.6796875,23940.6796875,23959.759765625,23872.58984375,23883.259765625,401410000
2017-11-30,24272.349609375,24272.349609375,24327.8203125,24013.80078125,24013.80078125,488200000
2017-12-01,24231.58984375,24231.58984375,24322.060546875,23921.900390625,24305.400390625,417910000
2017-12-04,24290.05078125,24290.05078125,24534.0390625,24288.189453125,24424.109375,424250000
2017-12-05,24180.640625,24180.640625,24349.740234375,24155.279296875,24335.009765625,371190000
2017-12-06,24140.91015625,24140.91015625,24229.349609375,24134.490234375,24171.900390625,312720000
2017-12-07,24211.48046875,24211.48046875,24262.880859375,24101.240234375,24116.599609375,319060000
2017-12-08,24329.16015625,24329.16015625,24330.119140625,24225.5,24263.259765625,293590000
2017-12-11,24386.029296875,24386.029296875,24389.720703125,24314.740234375,24338.109375,300580000
2017-12-12,24504.80078125,24504.80078125,24552.970703125,24443.830078125,24452.9609375,342220000
2017-12-13,24585.4296875,24585.4296875,24666.01953125,24518.30078125,24525.189453125,325280000
2017-12-14,24508.66015625,24508.66015625,24672.48046875,24508.66015625,24631.009765625,314780000
2017-12-15,24651.740234375,24651.740234375,24688.619140625,24584.439453125,24585.7109375,635740000
2017-12-18,24792.19921875,24792.19921875,24876.0703125,24739.560546875,24739.560546875,354880000
2017-12-19,24754.75,24754.75,24850.109375,24715.599609375,24834.380859375,335330000
2017-12-20,24726.650390625,24726.650390625,24852.439453125,24697.109375,24838.08984375,341790000
2017-12-21,24782.2890625,24782.2890625,24850.91015625,24766.26953125,24778.259765625,339530000
2017-12-22,24754.060546875,24754.060546875,24784.150390625,24717.509765625,24764.0390625,255140000
2017-12-26,24746.2109375,24746.2109375,24778.130859375,24708.419921875,24715.83984375,208290000
2017-12-27,24774.30078125,24774.30078125,24789.51953125,24731.6796875,24766.51953125,225890000
2017-12-28,24837.509765625,24837.509765625,24839.23046875,24797.130859375,24807.2109375,200960000
2017-12-29,24719.220703125,24719.220703125,24871.66015625,24719.220703125,24849.630859375,270760000
2018-01-02,24824.009765625,24824.009765625,24864.189453125,24741.69921875,24809.349609375,341130000
2018-01-03,24922.6796875,24922.6796875,24941.919921875,24825.55078125,24850.44921875,456790000
2018-01-04,25075.130859375,25075.130859375,25105.9609375,24963.26953125,24964.859375,403280000
2018-01-05,25295.869140625,25295.869140625,25299.7890625,25112.009765625,25114.919921875,358020000
2018-01-08,25283.0,25283.0,25311.990234375,25235.41015625,25308.400390625,341390000
